LocalTime,Volume
1,729.0277508082904
2,885.8185775476953
3,914.9989035209562
4,604.5148787810404
5,497.6463321212109
6,527.4804960327249
7,590.1752330049425
8,347.67430285914503
9,246.1388700176409
10,763.045599325853
11,935.6432468767729
12,471.6793482331533
13,559.2607817358229
14,839.0818514585923
15,265.80181532127676
16,897.0109770337704
17,813.4071352777016
18,892.0919307445618
19,53.88807491130309
20,181.10496877374737
21,380.3735091671112
22,27.395825759862102
23,417.2958449129828
24,91.33792875215873
