LocalTime,Volume
1,19.1949845868864
2,504.65713635788524
3,789.2381375077105
4,639.2688565540114
5,640.2330365356809
6,75.58510745406544
7,9.562126510800685
8,17.21519904749236
9,120.18168841685461
10,166.88666450825352
11,863.3591045489717
12,493.26136532828355
13,821.6757638493045
14,921.6275743819929
15,964.2957833885046
16,462.4399412158886
17,718.4654679803174
18,966.6189336408152
19,999.6283998524539
20,811.7349047451665
21,669.509707448523
22,208.22995121588949
23,701.958117885516
24,248.21617804971086
