LocalTime,Volume
1,59.04687945934162
2,542.307390223159
3,140.60282017314063
4,17.377769900332794
5,906.8247889696726
6,157.19839256792878
7,496.869889786807
8,258.77721104119956
9,398.8599622889235
10,496.1172193267699
11,930.7475741575448
12,8.875178379706416
13,908.8052587098056
14,246.79347063669022
15,420.42631833160084
16,87.47712122514184
17,112.28811923902859
18,519.7713585357459
19,138.56222509635109
20,750.8175073566686
21,157.09268650911702
22,933.2110746401801
23,653.6679683393739
24,791.8866542464078
