LocalTime,Volume
1,872.0151112061872
2,357.9215059281088
3,55.50535745547758
4,5.946345641995698
5,495.57609786608157
6,466.4648010715425
7,831.7007009995851
8,770.1705393768108
9,443.9265427037175
10,473.0675956716418
11,858.3481259224202
12,489.8762745994986
13,309.6296411857519
14,974.8187513899907
15,877.1393311467665
16,331.5776272429868
17,48.919905818405326
18,755.9178833867691
19,277.4779677894149
20,397.7331597932395
21,710.2191082070391
22,236.76494258154946
23,113.3998643269174
24,394.05099256352014
